,url,start,end
343,https://www.youtube.com/watch?v=nos-aVtxvGo&index=3&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:10,202","00:00:12,500"
1075,https://www.youtube.com/watch?v=4RIAXlLt95w&index=6&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:12,324","00:00:14,106"
1369,https://www.youtube.com/watch?v=WCVuo3xUr7U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=7,"00:00:20,054","00:00:22,434"
2050,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,452","00:00:18,274"
2878,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:00:14,283","00:00:20,202"
3043,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:08:46,444","00:08:49,548"
3202,https://www.youtube.com/watch?v=qMR6q4GE-H8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13,"00:00:49,831","00:00:53,630"
3453,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,918","00:00:23,318"
3535,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:31,928","00:05:35,809"
3714,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:20,680","00:00:23,222"
3715,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:25,382","00:00:28,074"
3729,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:25,637","00:01:29,809"
3877,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:46,199","00:10:49,540"
3886,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:18,710","00:11:20,590"
3967,https://www.youtube.com/watch?v=2M9jJJqugvY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=16,"00:00:10,360","00:00:16,347"
4295,https://www.youtube.com/watch?v=ap1vJoymPUg&index=17&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,591","00:00:17,454"
4583,https://www.youtube.com/watch?v=AjkRxUjkTWE&index=18&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:11,239","00:00:15,047"
4747,https://www.youtube.com/watch?v=R5xPW-d6Bc0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=19,"00:00:11,142","00:00:14,822"
4786,https://www.youtube.com/watch?v=R5xPW-d6Bc0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=19,"00:02:15,547","00:02:18,501"
5046,https://www.youtube.com/watch?v=sFe6KEWsYuU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=20,"00:00:13,370","00:00:16,310"
5269,https://www.youtube.com/watch?v=YjCJNxE0xfo&index=21&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,501","00:00:19,261"
6668,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,487","00:00:17,092"
6888,https://www.youtube.com/watch?v=bMz2ckG4VGE&index=28&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,511","00:00:15,825"
6889,https://www.youtube.com/watch?v=bMz2ckG4VGE&index=28&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:17,065","00:00:19,152"
7407,https://www.youtube.com/watch?v=87wXpvbT5-A&index=30&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,498","00:00:20,964"
7603,https://www.youtube.com/watch?v=3ppXm07eDFw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=31,"00:00:19,986","00:00:20,986"
7604,https://www.youtube.com/watch?v=3ppXm07eDFw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=31,"00:00:20,986","00:00:22,553"
8254,https://www.youtube.com/watch?v=ufU8kxiEkwg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=34,"00:00:19,737","00:00:21,497"
8471,https://www.youtube.com/watch?v=TqggAb53gxw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=35,"00:00:14,058","00:00:17,111"
8473,https://www.youtube.com/watch?v=TqggAb53gxw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=35,"00:00:19,338","00:00:22,241"
8955,https://www.youtube.com/watch?v=aWE7t_0OEtY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=37,"00:00:16,207","00:00:17,233"
9225,https://www.youtube.com/watch?v=TexGz7w4Kd4&index=38&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:05,562","00:00:07,402"
9227,https://www.youtube.com/watch?v=TexGz7w4Kd4&index=38&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:11,932","00:00:13,802"
9461,https://www.youtube.com/watch?v=Dd1k0toSfOk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=39,"00:00:15,554","00:00:16,754"
9463,https://www.youtube.com/watch?v=Dd1k0toSfOk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=39,"00:00:20,494","00:00:23,923"
9684,https://www.youtube.com/watch?v=Xh6IrVHSmHs&index=40&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:16,062","00:00:18,162"
9881,https://www.youtube.com/watch?v=d4nKuhap4_0&index=41&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,866","00:00:21,210"
10940,https://www.youtube.com/watch?v=re7PbMUNJLk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=45,"00:00:16,288","00:00:16,961"
11394,https://www.youtube.com/watch?v=uNDj3YledkQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=47,"00:00:12,989","00:00:17,066"
11684,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:10,989","00:00:11,745"
11997,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:03:09,018","00:03:12,984"
12239,https://www.youtube.com/watch?v=ozdt_rTL57A&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=50,"00:00:17,250","00:00:17,940"
12827,https://www.youtube.com/watch?v=miJhrWBHhwo&index=52&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:23,639","00:00:24,410"
13461,https://www.youtube.com/watch?v=az3RmsPeVT0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54,"00:00:17,147","00:00:21,116"
13761,https://www.youtube.com/watch?v=myQeHo6IRv8&index=55&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,008","00:00:15,279"
14019,https://www.youtube.com/watch?v=MWldHQdVXJ8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=56,"00:00:32,070","00:00:40,570"
15568,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:00:16,318","00:00:17,318"
16528,https://www.youtube.com/watch?v=DPapoMGWSHY&index=108&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:27,347","00:00:28,814"
17322,https://www.youtube.com/watch?v=XQ0m1AOTQwc&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=111,"00:00:09,370","00:00:12,334"
17569,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:04:59,356","00:05:02,270"
17738,https://www.youtube.com/watch?v=KAJygBMVHa8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=113,"00:00:06,443","00:00:08,012"
17740,https://www.youtube.com/watch?v=KAJygBMVHa8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=113,"00:00:18,711","00:00:21,582"
18045,https://www.youtube.com/watch?v=4FqDHKDsoDE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=114,"00:00:17,474","00:00:25,130"
18216,https://www.youtube.com/watch?v=r99ob-WyD20&index=72&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:30,127","00:00:32,942"
18477,https://www.youtube.com/watch?v=NQxBoQFmQdY&index=73&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,656","00:00:16,263"
18478,https://www.youtube.com/watch?v=NQxBoQFmQdY&index=73&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:16,263","00:00:19,117"
18651,https://www.youtube.com/watch?v=TpmeW6ahNl0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=74,"00:00:22,401","00:00:26,463"
18815,https://www.youtube.com/watch?v=Us1jwOyVgBw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=75,"00:00:13,449","00:00:14,451"
18984,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:00:14,487","00:00:16,507"
18985,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:00:19,507","00:00:21,733"
19272,https://www.youtube.com/watch?v=QDYFwWvQqfw&index=115&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:03:18,888","00:03:22,639"
19438,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:00:10,991","00:00:12,854"
19439,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:00:12,854","00:00:14,947"
19764,https://www.youtube.com/watch?v=LG0cLnZDYdg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=79,"00:00:11,782","00:00:13,914"
20012,https://www.youtube.com/watch?v=MJUxnjMvTi0&index=80&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:18,428","00:00:19,230"
21106,https://www.youtube.com/watch?v=2XK4kEL7D1M&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=84,"00:00:12,520","00:00:14,146"
21418,https://www.youtube.com/watch?v=AhfumgOTyUI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85,"00:00:12,717","00:00:14,538"
21422,https://www.youtube.com/watch?v=AhfumgOTyUI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85,"00:00:24,750","00:00:28,416"
22091,https://www.youtube.com/watch?v=1CdWEC6WZwM&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=87,"00:00:15,854","00:00:18,609"
22747,https://www.youtube.com/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118,"00:00:12,887","00:00:14,609"
23349,https://www.youtube.com/watch?v=buMvCfxJxwA&index=91&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,907","00:00:15,394"
23696,https://www.youtube.com/watch?v=aij9Q_tEO-I&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=92,"00:00:08,994","00:00:14,014"
23960,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:00:17,720","00:00:22,583"
24166,https://www.youtube.com/watch?v=0xK5ytIsE2Q&index=119&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:15,262","00:00:19,120"
24410,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,343","00:00:15,021"
25354,https://www.youtube.com/watch?v=dnGyOipKyfk&index=99&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:04:45,305","00:04:48,873"
25620,https://www.youtube.com/watch?v=ijjDioFrBDk&index=121&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,818","00:00:17,628"
26097,https://www.youtube.com/watch?v=rxOz8PV_d50&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=102,"00:00:10,793","00:00:12,925"
26122,https://www.youtube.com/watch?v=rxOz8PV_d50&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=102,"00:01:20,270","00:01:23,654"
